algorithm,variant,workload,overhead_threshold_pct,first_parameter_exceeding_threshold,measured_overhead_pct
crc32_prefix,explicit_incremental,continuous,1.0,16,16.667
crc32_prefix,explicit_incremental,continuous,5.0,16,16.667
crc32_prefix,explicit_incremental,continuous,10.0,16,16.667
crc32_prefix,explicit_incremental,continuous,25.0,not observed,
crc32_prefix,full_recompute,continuous,1.0,16,371.429
crc32_prefix,full_recompute,continuous,5.0,16,371.429
crc32_prefix,full_recompute,continuous,10.0,16,371.429
crc32_prefix,full_recompute,continuous,25.0,16,371.429
pid_controller,explicit_state,continuous,1.0,not observed,
pid_controller,explicit_state,continuous,5.0,not observed,
pid_controller,explicit_state,continuous,10.0,not observed,
pid_controller,explicit_state,continuous,25.0,not observed,
rolling_max,explicit_incremental,continuous,1.0,4,14.448
rolling_max,explicit_incremental,continuous,5.0,4,14.448
rolling_max,explicit_incremental,continuous,10.0,4,14.448
rolling_max,explicit_incremental,continuous,25.0,not observed,
rolling_max,full_recompute,continuous,1.0,64,10.824
rolling_max,full_recompute,continuous,5.0,64,10.824
rolling_max,full_recompute,continuous,10.0,64,10.824
rolling_max,full_recompute,continuous,25.0,256,162.414
sensor_monitor,periodic_recompute,all_change,1.0,64,38.349
sensor_monitor,periodic_recompute,all_change,5.0,64,38.349
sensor_monitor,periodic_recompute,all_change,10.0,64,38.349
sensor_monitor,periodic_recompute,all_change,25.0,64,38.349
sensor_monitor,periodic_recompute,no_change,1.0,64,1149.433
sensor_monitor,periodic_recompute,no_change,5.0,64,1149.433
sensor_monitor,periodic_recompute,no_change,10.0,64,1149.433
sensor_monitor,periodic_recompute,no_change,25.0,64,1149.433
sensor_monitor,periodic_recompute,one_percent,1.0,64,990.087
sensor_monitor,periodic_recompute,one_percent,5.0,64,990.087
sensor_monitor,periodic_recompute,one_percent,10.0,64,990.087
sensor_monitor,periodic_recompute,one_percent,25.0,64,990.087
sliding_mean,explicit_incremental,continuous,1.0,16,4.627
sliding_mean,explicit_incremental,continuous,5.0,not observed,
sliding_mean,explicit_incremental,continuous,10.0,not observed,
sliding_mean,explicit_incremental,continuous,25.0,not observed,
sliding_mean,full_recompute,continuous,1.0,16,3.081
sliding_mean,full_recompute,continuous,5.0,64,287.404
sliding_mean,full_recompute,continuous,10.0,64,287.404
sliding_mean,full_recompute,continuous,25.0,64,287.404
