algorithm,variant,workload,overhead_threshold_pct,first_parameter_exceeding_threshold,measured_overhead_pct
crc32_prefix,explicit_incremental,continuous,1.0,16,10.000
crc32_prefix,explicit_incremental,continuous,5.0,16,10.000
crc32_prefix,explicit_incremental,continuous,10.0,16,10.000
crc32_prefix,explicit_incremental,continuous,25.0,not observed,
crc32_prefix,full_recompute,continuous,1.0,16,372.727
crc32_prefix,full_recompute,continuous,5.0,16,372.727
crc32_prefix,full_recompute,continuous,10.0,16,372.727
crc32_prefix,full_recompute,continuous,25.0,16,372.727
pid_controller,explicit_state,continuous,1.0,not observed,
pid_controller,explicit_state,continuous,5.0,not observed,
pid_controller,explicit_state,continuous,10.0,not observed,
pid_controller,explicit_state,continuous,25.0,not observed,
rolling_max,explicit_incremental,continuous,1.0,not observed,
rolling_max,explicit_incremental,continuous,5.0,not observed,
rolling_max,explicit_incremental,continuous,10.0,not observed,
rolling_max,explicit_incremental,continuous,25.0,not observed,
rolling_max,full_recompute,continuous,1.0,64,20.292
rolling_max,full_recompute,continuous,5.0,64,20.292
rolling_max,full_recompute,continuous,10.0,64,20.292
rolling_max,full_recompute,continuous,25.0,256,198.547
sensor_monitor,periodic_recompute,all_change,1.0,64,37.968
sensor_monitor,periodic_recompute,all_change,5.0,64,37.968
sensor_monitor,periodic_recompute,all_change,10.0,64,37.968
sensor_monitor,periodic_recompute,all_change,25.0,64,37.968
sensor_monitor,periodic_recompute,no_change,1.0,64,1342.815
sensor_monitor,periodic_recompute,no_change,5.0,64,1342.815
sensor_monitor,periodic_recompute,no_change,10.0,64,1342.815
sensor_monitor,periodic_recompute,no_change,25.0,64,1342.815
sensor_monitor,periodic_recompute,one_percent,1.0,64,811.095
sensor_monitor,periodic_recompute,one_percent,5.0,64,811.095
sensor_monitor,periodic_recompute,one_percent,10.0,64,811.095
sensor_monitor,periodic_recompute,one_percent,25.0,64,811.095
sliding_mean,explicit_incremental,continuous,1.0,256,7.161
sliding_mean,explicit_incremental,continuous,5.0,256,7.161
sliding_mean,explicit_incremental,continuous,10.0,not observed,
sliding_mean,explicit_incremental,continuous,25.0,not observed,
sliding_mean,full_recompute,continuous,1.0,64,246.357
sliding_mean,full_recompute,continuous,5.0,64,246.357
sliding_mean,full_recompute,continuous,10.0,64,246.357
sliding_mean,full_recompute,continuous,25.0,64,246.357
