algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
crc32_prefix,explicit_incremental,continuous,16,11,6.25,6.25,6.25,0.0,100.0,100.0,100.0,160000000.0,94.812,0.0,0.0,0.0,4,16,0,1,hidden_incremental,1.1,10.000000000000009
crc32_prefix,explicit_incremental,continuous,64,11,3.9775454545454547,3.429215329231929,4.5258755798589805,0.0,100.0,100.0,100.0,213333333.333,29.641,0.0,0.0,0.0,4,64,0,1,hidden_incremental,0.93335751007957,-6.664248992042998
crc32_prefix,explicit_incremental,continuous,256,11,3.906,3.906,3.906,0.0,100.0,100.0,100.0,256000000.0,19.262,0.0,0.0,0.0,4,256,0,1,hidden_incremental,0.9648992791214713,-3.510072087852867
crc32_prefix,explicit_incremental,continuous,1024,11,3.924,3.79348545492022,4.05451454507978,0.0,100.0,100.0,400.0,256000000.0,15.558,0.0,0.0,0.0,4,1024,0,1,hidden_incremental,1.0114586994727592,1.1458699472759237
crc32_prefix,explicit_incremental,continuous,4096,11,3.963909090909091,3.6828640364198164,4.244954145398365,0.0,100.0,100.0,1100.0,260891719.745,14.816,0.0022194602272727275,0.0,0.0,4,4096,0,1,hidden_incremental,0.9834893425059209,-1.6510657494079095
crc32_prefix,full_recompute,continuous,16,11,29.545454545454547,27.584316614693154,31.50659247621594,0.0,100.0,100.0,100.0,32000000.0,165.938,0.0,0.0,0.0,0,16,0,8,explicit_incremental,4.7272727272727275,372.72727272727275
crc32_prefix,full_recompute,continuous,64,11,125.85254545454545,122.65645013375607,129.04864077533483,100.0,300.0,300.0,400.0,8101265.823,485.984,0.0,0.0,0.0,0,64,0,32,explicit_incremental,31.64075606244143,3064.075606244143
crc32_prefix,full_recompute,continuous,256,11,516.8679090909092,512.2674120915815,521.4684060902368,500.0,1000.0,1100.0,5400.0,1942336.874,1958.727,1.2428977272727273,0.0,0.0,0,256,0,128,explicit_incremental,132.32665363310525,13132.665363310525
crc32_prefix,full_recompute,continuous,1024,11,2084.0376363636365,2073.3701046650804,2094.7051680621926,2100.0,4000.0,4100.0,45000.0,481044.769,7876.03,75.0887784090909,0.01775568181818182,0.0,0,1024,0,512,explicit_incremental,531.1003150773794,53010.031507737935
crc32_prefix,full_recompute,continuous,4096,11,8372.35890909091,8343.393174846668,8401.324643335152,8300.0,15800.0,16500.0,120400.0,119671.604,31621.545,93.80104758522727,39.80601917613637,0.0022194602272727275,0,4096,0,2048,explicit_incremental,2112.147054101782,211114.7054101782
