algorithm,variant,workload,overhead_threshold_pct,first_parameter_exceeding_threshold,measured_overhead_pct
crc32_prefix,explicit_incremental,continuous,1.0,1024,4.523
crc32_prefix,explicit_incremental,continuous,5.0,4096,13.202
crc32_prefix,explicit_incremental,continuous,10.0,4096,13.202
crc32_prefix,explicit_incremental,continuous,25.0,not observed,
crc32_prefix,full_recompute,continuous,1.0,16,480.322
crc32_prefix,full_recompute,continuous,5.0,16,480.322
crc32_prefix,full_recompute,continuous,10.0,16,480.322
crc32_prefix,full_recompute,continuous,25.0,16,480.322
game_tick_motion,explicit_stateful,entities_1024,1.0,4,6.072
game_tick_motion,explicit_stateful,entities_1024,5.0,4,6.072
game_tick_motion,explicit_stateful,entities_1024,10.0,16,13.616
game_tick_motion,explicit_stateful,entities_1024,25.0,not observed,
game_tick_motion,explicit_stateful,entities_256,1.0,64,4.031
game_tick_motion,explicit_stateful,entities_256,5.0,not observed,
game_tick_motion,explicit_stateful,entities_256,10.0,not observed,
game_tick_motion,explicit_stateful,entities_256,25.0,not observed,
game_tick_motion,explicit_stateful,entities_4096,1.0,1,5.183
game_tick_motion,explicit_stateful,entities_4096,5.0,1,5.183
game_tick_motion,explicit_stateful,entities_4096,10.0,4,34.205
game_tick_motion,explicit_stateful,entities_4096,25.0,4,34.205
game_tick_motion,explicit_stateful,entities_64,1.0,4,10.036
game_tick_motion,explicit_stateful,entities_64,5.0,4,10.036
game_tick_motion,explicit_stateful,entities_64,10.0,4,10.036
game_tick_motion,explicit_stateful,entities_64,25.0,not observed,
game_tick_motion,stateless_replay,entities_1024,1.0,4,152.629
game_tick_motion,stateless_replay,entities_1024,5.0,4,152.629
game_tick_motion,stateless_replay,entities_1024,10.0,4,152.629
game_tick_motion,stateless_replay,entities_1024,25.0,4,152.629
game_tick_motion,stateless_replay,entities_256,1.0,4,125.716
game_tick_motion,stateless_replay,entities_256,5.0,4,125.716
game_tick_motion,stateless_replay,entities_256,10.0,4,125.716
game_tick_motion,stateless_replay,entities_256,25.0,4,125.716
game_tick_motion,stateless_replay,entities_4096,1.0,4,75.731
game_tick_motion,stateless_replay,entities_4096,5.0,4,75.731
game_tick_motion,stateless_replay,entities_4096,10.0,4,75.731
game_tick_motion,stateless_replay,entities_4096,25.0,4,75.731
game_tick_motion,stateless_replay,entities_64,1.0,4,135.318
game_tick_motion,stateless_replay,entities_64,5.0,4,135.318
game_tick_motion,stateless_replay,entities_64,10.0,4,135.318
game_tick_motion,stateless_replay,entities_64,25.0,4,135.318
pid_controller,explicit_state,continuous,1.0,1,2.238
pid_controller,explicit_state,continuous,5.0,not observed,
pid_controller,explicit_state,continuous,10.0,not observed,
pid_controller,explicit_state,continuous,25.0,not observed,
rolling_max,explicit_incremental,continuous,1.0,64,9.045
rolling_max,explicit_incremental,continuous,5.0,64,9.045
rolling_max,explicit_incremental,continuous,10.0,not observed,
rolling_max,explicit_incremental,continuous,25.0,not observed,
rolling_max,full_recompute,continuous,1.0,64,5.277
rolling_max,full_recompute,continuous,5.0,64,5.277
rolling_max,full_recompute,continuous,10.0,256,232.046
rolling_max,full_recompute,continuous,25.0,256,232.046
sensor_monitor,periodic_recompute,all_change,1.0,1024,12.082
sensor_monitor,periodic_recompute,all_change,5.0,1024,12.082
sensor_monitor,periodic_recompute,all_change,10.0,1024,12.082
sensor_monitor,periodic_recompute,all_change,25.0,not observed,
sensor_monitor,periodic_recompute,no_change,1.0,64,1571.933
sensor_monitor,periodic_recompute,no_change,5.0,64,1571.933
sensor_monitor,periodic_recompute,no_change,10.0,64,1571.933
sensor_monitor,periodic_recompute,no_change,25.0,64,1571.933
sensor_monitor,periodic_recompute,one_percent,1.0,64,689.858
sensor_monitor,periodic_recompute,one_percent,5.0,64,689.858
sensor_monitor,periodic_recompute,one_percent,10.0,64,689.858
sensor_monitor,periodic_recompute,one_percent,25.0,64,689.858
sliding_mean,explicit_incremental,continuous,1.0,64,10.782
sliding_mean,explicit_incremental,continuous,5.0,64,10.782
sliding_mean,explicit_incremental,continuous,10.0,64,10.782
sliding_mean,explicit_incremental,continuous,25.0,not observed,
sliding_mean,full_recompute,continuous,1.0,16,24.360
sliding_mean,full_recompute,continuous,5.0,16,24.360
sliding_mean,full_recompute,continuous,10.0,16,24.360
sliding_mean,full_recompute,continuous,25.0,64,268.146
