algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
crc32_prefix,explicit_incremental,continuous,16,11,8.117181818181818,7.074664418271969,9.159699218091665,0.0,100.0,100.0,100.0,131838069.891,27.391,0.0,0.0,0.0,4,16,0,1,hidden_incremental,1.0039804351492663,0.39804351492662704
crc32_prefix,explicit_incremental,continuous,64,11,10.863727272727273,9.325140884519948,12.402313660934597,0.0,100.0,100.0,200.0,100596031.487,29.21,0.0,0.0,0.0,4,64,0,1,hidden_incremental,0.9076415947015442,-9.235840529845586
crc32_prefix,explicit_incremental,continuous,256,11,11.182454545454545,9.288937478181184,13.075971612727907,0.0,100.0,100.0,23100.0,96144019.918,29.155,0.10653409090909091,0.03551136363636364,0.0,4,256,0,1,hidden_incremental,0.735700999419846,-26.4299000580154
crc32_prefix,explicit_incremental,continuous,1024,11,5.747454545454546,4.770998655751035,6.723910435158056,0.0,100.0,100.0,300.0,179715333.719,20.881,0.0,0.0,0.0,4,1024,0,1,hidden_incremental,1.0452336077770064,4.523360777700636
crc32_prefix,explicit_incremental,continuous,4096,11,8.039272727272728,5.809812931954444,10.268732522591012,0.0,100.0,100.0,303900.0,137380837.656,26.397,0.01553622159090909,0.011097301136363636,0.0022194602272727275,4,4096,0,1,hidden_incremental,1.1320165388701853,13.201653887018526
crc32_prefix,full_recompute,continuous,16,11,47.10581818181818,43.38667335552044,50.824963008115915,100.0,100.0,100.0,200.0,21406171.399,166.176,0.0,0.0,0.0,0,16,0,8,explicit_incremental,5.803223241384717,480.3223241384717
crc32_prefix,full_recompute,continuous,64,11,282.9406363636364,241.13247161241028,324.74880111486243,200.0,300.0,400.0,7400.0,3446503.519,676.043,0.14204545454545456,0.0,0.0,0,64,0,32,explicit_incremental,26.044526824043313,2504.4526824043314
crc32_prefix,full_recompute,continuous,256,11,921.5633636363636,755.1729760088368,1087.9537512638904,700.0,1300.0,1500.0,82900.0,1162301.663,2734.367,24.11221590909091,0.24857954545454544,0.0,0,256,0,128,explicit_incremental,82.41154568439195,8141.154568439195
crc32_prefix,full_recompute,continuous,1024,11,2477.2333636363637,2170.303566515101,2784.1631607576264,2400.0,4500.0,4600.0,82100.0,437229.4,8660.708,77.61008522727273,0.9499289772727273,0.0,0,1024,0,512,explicit_incremental,431.01399829173386,43001.39982917339
crc32_prefix,full_recompute,continuous,4096,11,14109.523727272726,10442.83654487317,17776.21090967228,11100.0,22600.0,53500.0,11709800.0,74265.459,41745.319,95.07501775568181,52.83203125,0.5348899147727273,0,4096,0,2048,explicit_incremental,1755.0746449249139,175407.4644924914
