variant,phase,work_rounds,entities,vec3_multiplies,vec3_adds,scalar_arithmetic,p99_ns,p99_increment_over_stateful_ns,crosses_absolute_1ms_p99,crosses_added_1ms_p99
stateful_event,frame_total,1,4096,4096,4096,24576,84400.0,0.0,0,0
stateful_event,frame_total,4,4096,16384,16384,98304,84700.0,0.0,0,0
stateful_event,frame_total,16,4096,65536,65536,393216,399400.0,0.0,0,0
stateful_event,frame_total,64,4096,262144,262144,1572864,462900.0,0.0,0,0
stateful_event,frame_total,96,4096,393216,393216,2359296,1201200.0,0.0,1,0
stateful_event,frame_total,128,4096,524288,524288,3145728,1289700.0,0.0,1,0
stateful_event,frame_total,160,4096,655360,655360,3932160,1983900.0,0.0,1,0
stateful_event,frame_total,192,4096,786432,786432,4718592,1855400.0,0.0,1,0
stateful_event,frame_total,256,4096,1048576,1048576,6291456,2732700.0,0.0,1,0
stateful_event,frame_total,1024,4096,4194304,4194304,25165824,6204900.0,0.0,1,0
stateful_event,tick_only,1,4096,4096,4096,24576,200.0,0.0,0,0
stateful_event,tick_only,4,4096,16384,16384,98304,200.0,0.0,0,0
stateful_event,tick_only,16,4096,65536,65536,393216,200.0,0.0,0,0
stateful_event,tick_only,64,4096,262144,262144,1572864,200.0,0.0,0,0
stateful_event,tick_only,96,4096,393216,393216,2359296,200.0,0.0,0,0
stateful_event,tick_only,128,4096,524288,524288,3145728,200.0,0.0,0,0
stateful_event,tick_only,160,4096,655360,655360,3932160,400.0,0.0,0,0
stateful_event,tick_only,192,4096,786432,786432,4718592,300.0,0.0,0,0
stateful_event,tick_only,256,4096,1048576,1048576,6291456,300.0,0.0,0,0
stateful_event,tick_only,1024,4096,4194304,4194304,25165824,300.0,0.0,0,0
stateless_full,frame_total,1,4096,4096,4096,24576,42300.0,-42100.0,0,0
stateless_full,frame_total,4,4096,16384,16384,98304,36200.0,-48500.0,0,0
stateless_full,frame_total,16,4096,65536,65536,393216,274800.0,-124600.0,0,0
stateless_full,frame_total,64,4096,262144,262144,1572864,365000.0,-97900.0,0,0
stateless_full,frame_total,96,4096,393216,393216,2359296,591100.0,-610100.0,0,0
stateless_full,frame_total,128,4096,524288,524288,3145728,1340100.0,50400.0,1,0
stateless_full,frame_total,160,4096,655360,655360,3932160,1516100.0,-467800.0,1,0
stateless_full,frame_total,192,4096,786432,786432,4718592,1744700.0,-110700.0,1,0
stateless_full,frame_total,256,4096,1048576,1048576,6291456,1672100.0,-1060600.0,1,0
stateless_full,frame_total,1024,4096,4194304,4194304,25165824,6040700.0,-164200.0,1,0
stateless_full,tick_only,1,4096,4096,4096,24576,33600.0,33400.0,0,0
stateless_full,tick_only,4,4096,16384,16384,98304,27100.0,26900.0,0,0
stateless_full,tick_only,16,4096,65536,65536,393216,225400.0,225200.0,0,0
stateless_full,tick_only,64,4096,262144,262144,1572864,395300.0,395100.0,0,0
stateless_full,tick_only,96,4096,393216,393216,2359296,817100.0,816900.0,0,0
stateless_full,tick_only,128,4096,524288,524288,3145728,1474300.0,1474100.0,1,1
stateless_full,tick_only,160,4096,655360,655360,3932160,1292300.0,1291900.0,1,1
stateless_full,tick_only,192,4096,786432,786432,4718592,1816200.0,1815900.0,1,1
stateless_full,tick_only,256,4096,1048576,1048576,6291456,1546600.0,1546300.0,1,1
stateless_full,tick_only,1024,4096,4194304,4194304,25165824,5925300.0,5925000.0,1,1
tick_selective,frame_total,1,4096,4096,4096,24576,68900.0,-15500.0,0,0
tick_selective,frame_total,4,4096,16384,16384,98304,63500.0,-21200.0,0,0
tick_selective,frame_total,16,4096,65536,65536,393216,247800.0,-151600.0,0,0
tick_selective,frame_total,64,4096,262144,262144,1572864,392500.0,-70400.0,0,0
tick_selective,frame_total,96,4096,393216,393216,2359296,670000.0,-531200.0,0,0
tick_selective,frame_total,128,4096,524288,524288,3145728,1480800.0,191100.0,1,0
tick_selective,frame_total,160,4096,655360,655360,3932160,1311500.0,-672400.0,1,0
tick_selective,frame_total,192,4096,786432,786432,4718592,1858100.0,2700.0,1,0
tick_selective,frame_total,256,4096,1048576,1048576,6291456,2679000.0,-53700.0,1,0
tick_selective,frame_total,1024,4096,4194304,4194304,25165824,5931900.0,-273000.0,1,0
tick_selective,tick_only,1,4096,4096,4096,24576,61400.0,61200.0,0,0
tick_selective,tick_only,4,4096,16384,16384,98304,50300.0,50100.0,0,0
tick_selective,tick_only,16,4096,65536,65536,393216,176100.0,175900.0,0,0
tick_selective,tick_only,64,4096,262144,262144,1572864,457400.0,457200.0,0,0
tick_selective,tick_only,96,4096,393216,393216,2359296,953600.0,953400.0,0,0
tick_selective,tick_only,128,4096,524288,524288,3145728,1256500.0,1256300.0,1,1
tick_selective,tick_only,160,4096,655360,655360,3932160,1334400.0,1334000.0,1,1
tick_selective,tick_only,192,4096,786432,786432,4718592,2780500.0,2780200.0,1,1
tick_selective,tick_only,256,4096,1048576,1048576,6291456,1712900.0,1712600.0,1,1
tick_selective,tick_only,1024,4096,4194304,4194304,25165824,6201000.0,6200700.0,1,1
