algorithm,workload,variant,phase,entities,change_percent,work_rounds,repetitions,total_samples,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_ns,throughput_per_s,cycles_per_tick,miss_100us_pct,miss_1ms_pct,miss_16_67ms_pct,changed_entities,arithmetic_per_tick,vector_multiplies_per_tick,vector_adds_per_tick,persistent_bytes,temporary_bytes,event_bytes,working_bytes,source_call_depth,checksum_consistent,mean_ratio_to_stateful,p99_increment_over_stateful_ns,working_memory_ratio_to_stateful
derived_vectors,arithmetic_calibration,stateful_event,frame_total,4096,100,1,11,13420,26921.229727272726,26399.357881864285,27443.101572681167,25900.0,30300.0,39400.0,107800.0,37433.992,135774.793,0.014903129657228018,0.0,0.0,4096,24576,4096,4096,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,frame_total,4096,100,4,11,3355,43870.67063636363,43707.81970209786,44033.521570629404,42900.0,50900.0,57900.0,84100.0,22768.16,199725.711,0.0,0.0,0.0,4096,98304,16384,16384,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,frame_total,4096,100,16,11,836,115179.06709090908,113394.60239076409,116963.53179105408,111500.0,132400.0,142400.0,220600.0,8725.002,479639.829,100.0,0.0,0.0,4096,393216,65536,65536,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,frame_total,4096,100,64,11,341,401927.56590909086,383648.0252258846,420207.10659229715,392900.0,416400.0,428100.0,685700.0,2523.279,1536446.387,100.0,0.0,0.0,4096,1572864,262144,262144,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,frame_total,4096,100,96,11,341,584716.7155454545,567425.5312000985,602007.8998908106,573200.0,593800.0,603600.0,690300.0,1741.71,2207342.548,100.0,0.0,0.0,4096,2359296,393216,393216,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,frame_total,4096,100,128,11,341,753285.0440909091,749162.8958871439,757407.1922946742,749400.0,768900.0,783800.0,817100.0,1333.878,2874347.71,100.0,0.0,0.0,4096,3145728,524288,524288,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,frame_total,4096,100,160,11,341,956714.3694545454,933792.505041353,979636.2338677378,939200.0,989500.0,992400.0,1529100.0,1062.16,3594405.935,100.0,12.609970674486803,0.0,4096,3932160,655360,655360,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,frame_total,4096,100,192,11,341,1126867.4485454545,1118178.676586478,1135556.220504431,1118100.0,1145800.0,1164600.0,1756800.0,889.726,4285282.419,100.0,100.0,0.0,4096,4718592,786432,786432,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,frame_total,4096,100,256,11,341,1491793.5483636362,1485233.949140081,1498353.1475871915,1485100.0,1511100.0,1526700.0,1734400.0,671.618,5670277.968,100.0,100.0,0.0,4096,6291456,1048576,1048576,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,frame_total,4096,100,1024,11,341,5947176.246363636,5897262.008943071,5997090.483784202,5895000.0,6094800.0,6580300.0,8812400.0,168.429,22346105.161,100.0,100.0,0.0,4096,25165824,4194304,4194304,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,tick_only,4096,100,1,11,13420,26.78081818181818,25.46991389392926,28.0917224697071,0.0,100.0,100.0,500.0,37308868.502,135904.123,0.0,0.0,0.0,4096,24576,4096,4096,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,tick_only,4096,100,4,11,3355,24.82872727272727,23.025675119776153,26.63177942567839,0.0,100.0,100.0,600.0,40666666.667,197361.6,0.0,0.0,0.0,4096,98304,16384,16384,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,tick_only,4096,100,16,11,836,34.80854545454545,28.26095447314313,41.356136435947775,0.0,100.0,200.0,300.0,28148148.148,475637.211,0.0,0.0,0.0,4096,393216,65536,65536,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,tick_only,4096,100,64,11,341,44.57472727272727,33.490385725171436,55.65906882028311,0.0,100.0,200.0,500.0,23846153.846,1523880.677,0.0,0.0,0.0,4096,1572864,262144,262144,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,tick_only,4096,100,96,11,341,39.882636363636365,30.130096149379582,49.63517657789315,0.0,100.0,100.0,400.0,28181818.182,2191252.806,0.0,0.0,0.0,4096,2359296,393216,393216,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,tick_only,4096,100,128,11,341,39.882636363636365,28.736872004604756,51.028400722667975,0.0,100.0,200.0,300.0,25833333.333,2880881.387,0.0,0.0,0.0,4096,3145728,524288,524288,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,tick_only,4096,100,160,11,341,43.98827272727272,31.49190492793246,56.484640526612985,0.0,100.0,200.0,300.0,23846153.846,3620088.065,0.0,0.0,0.0,4096,3932160,655360,655360,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,tick_only,4096,100,192,11,341,52.785999999999994,40.252002837419234,65.31999716258076,0.0,200.0,200.0,300.0,20666666.667,4288145.71,0.0,0.0,0.0,4096,4718592,786432,786432,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,tick_only,4096,100,256,11,341,43.98827272727272,32.14788029922552,55.828665155319925,0.0,100.0,200.0,300.0,28181818.182,5677288.968,0.0,0.0,0.0,4096,6291456,1048576,1048576,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateful_event,tick_only,4096,100,1024,11,341,66.86218181818182,46.25657857994871,87.46778505641494,0.0,100.0,300.0,400.0,19375000.0,22394215.355,0.0,0.0,0.0,4096,25165824,4194304,4194304,147456,0,114688,262144,4,0,1.0,0.0,1.0
derived_vectors,arithmetic_calibration,stateless_full,frame_total,4096,100,1,11,13420,13287.473909090908,12612.523119562007,13962.424698619809,12100.0,19100.0,23800.0,62100.0,75983.583,85146.627,0.0,0.0,0.0,4096,24576,4096,4096,98304,49152,0,147456,3,0,0.49356860900116856,-15600.0,0.5625
derived_vectors,arithmetic_calibration,stateless_full,frame_total,4096,100,4,11,3355,25059.67209090909,23936.857469132752,26182.48671268543,23500.0,30600.0,37800.0,85800.0,41208.42,123844.557,0.0,0.0,0.0,4096,98304,16384,16384,98304,49152,0,147456,3,0,0.5712169822664522,-20100.0,0.5625
derived_vectors,arithmetic_calibration,stateless_full,frame_total,4096,100,16,11,836,91868.66027272727,86541.7262614829,97195.59428397164,83300.0,107000.0,130600.0,197000.0,11295.908,374354.118,22.129186602870814,0.0,0.0,4096,393216,65536,65536,98304,49152,0,147456,3,0,0.7976159435309259,-11800.0,0.5625
derived_vectors,arithmetic_calibration,stateless_full,frame_total,4096,100,64,11,341,365092.0819090909,355803.63670317264,374380.5271150092,353400.0,382200.0,407500.0,866400.0,2784.414,1403153.129,100.0,0.0,0.0,4096,1572864,262144,262144,98304,49152,0,147456,3,0,0.9083529294222843,-20600.0,0.5625
derived_vectors,arithmetic_calibration,stateless_full,frame_total,4096,100,96,11,341,553801.4662727272,532290.3043969816,575312.6281484729,532100.0,549900.0,585300.0,1165100.0,1864.583,2061605.548,100.0,0.5865102639296188,0.0,4096,2359296,393216,393216,98304,49152,0,147456,3,0,0.9471278168542044,-18300.0,0.5625
derived_vectors,arithmetic_calibration,stateless_full,frame_total,4096,100,128,11,341,719273.3138181819,716635.1917390247,721911.435897339,718400.0,737000.0,745300.0,783800.0,1388.883,2756054.903,100.0,0.0,0.0,4096,3145728,524288,524288,98304,49152,0,147456,3,0,0.9548487912516918,-38500.0,0.5625
derived_vectors,arithmetic_calibration,stateless_full,frame_total,4096,100,160,11,341,918231.0849090909,905602.4872786873,930859.6825394945,905900.0,929300.0,937200.0,1652300.0,1096.693,3479796.129,100.0,2.6392961876832843,0.0,4096,3932160,655360,655360,98304,49152,0,147456,3,0,0.9597755758937799,-55200.0,0.5625
derived_vectors,arithmetic_calibration,stateless_full,frame_total,4096,100,192,11,341,1092282.698090909,1086294.8052776323,1098270.5909041858,1085600.0,1113100.0,1144900.0,1758300.0,916.813,4158070.065,100.0,100.0,0.0,4096,4718592,786432,786432,98304,49152,0,147456,3,0,0.969308945342962,-19700.0,0.5625
