platform,compiler,build_flags,algorithm,variant,workload,parameter,repetition,iterations,timer_overhead_ns,mean_ns,median_ns,p95_ns,p99_ns,max_ns,throughput_updates_s,cpu_utilization_pct,cycles_per_update,deadline_1us_misses,deadline_10us_misses,deadline_100us_misses,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,checksum
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,1,100000,0,5.522,0,100,100,16200,181093806.592,0.000,21.002,4,2,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,1,100000,0,5.637,0,100,100,21900,177399325.883,0.000,21.252,1,1,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,1,100000,0,3.742,0,100,100,12400,267236771.780,0.000,14.220,3,1,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,1,100000,0,11.978,0,100,100,8200,83486391.718,0.000,45.379,2,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,1,100000,0,11.367,0,100,100,17100,87973959.708,0.000,43.240,3,2,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,1,100000,0,3.412,0,100,100,5000,293083235.639,0.000,12.968,1,0,0,0,16,0,16,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,2,100000,0,5.416,0,100,100,3900,184638109.306,0.000,20.566,1,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,2,100000,0,3.461,0,100,100,7500,288933834.152,0.000,13.154,2,0,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,2,100000,0,11.830,0,100,100,5700,84530853.762,0.000,43.832,4,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,2,100000,0,8.477,0,100,100,3700,117966261.649,0.000,32.168,2,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,2,100000,0,3.832,0,100,100,5400,260960334.029,0.000,14.550,2,0,0,0,16,0,16,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,2,100000,0,5.441,0,100,100,4100,183789744.532,0.000,20.653,3,0,0,40,32,0,8,4050725823050583179
