platform,compiler,build_flags,algorithm,variant,workload,parameter,repetition,iterations,timer_overhead_ns,mean_ns,median_ns,p95_ns,p99_ns,max_ns,throughput_updates_s,cpu_utilization_pct,cycles_per_update,deadline_1us_misses,deadline_10us_misses,deadline_100us_misses,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,checksum
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,1,100000,0,5.432,0,100,100,9700,184092472.556,0.000,20.571,1,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,1,100000,0,5.470,0,100,100,7700,182824152.033,0.000,20.728,2,0,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,1,100000,0,5.953,0,100,100,10800,167970649.339,138.134,22.529,2,1,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,1,100000,0,12.328,0,100,100,57600,81115335.868,158.428,46.503,5,5,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,1,100000,0,9.639,0,100,100,34500,103746098.714,135.086,36.235,6,3,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,1,100000,0,3.726,0,100,100,7800,268366940.894,144.594,14.118,1,0,0,0,16,0,16,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,2,100000,0,5.464,0,100,100,15400,183000240.790,150.494,20.709,2,2,0,40,32,0,8,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,2,100000,0,4.170,0,100,100,4900,239794735.706,124.893,15.765,1,0,0,0,32,0,32,4050725823050583179
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,2,100000,0,11.559,0,100,100,8300,86514171.021,0.000,43.773,3,0,0,96,0,0,8,1820439831759374474
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,2,100000,0,8.421,0,100,100,10000,118751917.349,154.625,31.883,2,0,0,96,0,0,8,1820439831759374474
