algorithm,workload,variant,phase,entities,change_percent,work_rounds,repetition,samples,changed_entities,arithmetic_per_tick,recomputed_entities,mean_ns,median_ns,p95_ns,p99_ns,maximum_ns,throughput_per_s,cycles_per_tick,miss_100us,miss_1ms,miss_16_67ms,persistent_bytes,temporary_bytes,event_bytes,working_bytes,source_call_depth,checksum
derived_vectors,change_density,stateless_full,frame_total,64,0,16,1,2001,0,6144,64,636.182,600,700,1000,25300,1571877.455,2497.959,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,1,2001,0,0,0,23.738,0,100,100,100,42126315.789,182.731,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,frame_total,64,0,16,1,2001,0,0,0,80.810,100,100,100,100,12374768.089,400.340,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,tick_only,64,0,16,1,2001,0,6144,64,596.302,600,600,700,12900,1677003.017,2350.674,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,tick_only,64,0,16,1,2001,0,0,0,22.839,0,100,100,100,43785557.987,181.973,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,tick_only,64,0,16,1,2001,0,0,0,80.560,100,100,100,100,12413151.365,400.909,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,0,16,2,2001,0,6144,64,592.254,600,600,600,12400,1688465.108,2329.634,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,2,2001,0,0,0,23.688,0,100,100,100,42215189.873,182.731,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,frame_total,64,0,16,2,2001,0,0,0,81.009,100,100,100,100,12344231.956,399.583,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,tick_only,64,0,16,2,2001,0,6144,64,666.217,600,700,900,34800,1501012.677,2591.031,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,tick_only,64,0,16,2,2001,0,0,0,22.939,0,100,100,200,43594771.242,182.352,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,tick_only,64,0,16,2,2001,0,0,0,80.060,100,100,100,200,12490636.704,399.393,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,0,16,3,2001,0,6144,64,641.179,600,800,900,32200,1559625.877,2501.180,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,3,2001,0,0,0,23.888,0,100,100,100,41861924.686,182.921,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,frame_total,64,0,16,3,2001,0,0,0,87.906,100,100,100,13900,11375781.694,416.832,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,tick_only,64,0,16,3,2001,0,6144,64,665.017,600,700,900,37700,1503719.847,2545.726,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,tick_only,64,0,16,3,2001,0,0,0,23.938,0,100,100,200,41774530.271,193.157,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,tick_only,64,0,16,3,2001,0,0,0,95.952,100,100,200,16300,10421875.000,453.037,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,0,16,4,2001,0,6144,64,608.546,600,600,700,17100,1643261.887,2383.847,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,4,2001,0,0,0,158.121,0,100,100,267400,6324273.072,250.024,1,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,frame_total,64,0,16,4,2001,0,0,0,107.846,100,200,200,21700,9272474.513,493.792,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,tick_only,64,0,16,4,2001,0,6144,64,731.684,700,800,1000,22600,1366709.924,2829.491,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,tick_only,64,0,16,4,2001,0,0,0,26.237,0,100,100,100,38114285.714,196.190,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,tick_only,64,0,16,4,2001,0,0,0,126.437,100,200,200,9500,7909090.909,577.005,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,0,16,5,2001,0,6144,64,720.940,700,800,900,18500,1387078.885,2814.705,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,5,2001,0,0,0,28.036,0,100,100,200,35668449.198,204.909,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,frame_total,64,0,16,5,2001,0,0,0,144.378,100,200,200,6000,6926272.066,649.037,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,tick_only,64,0,16,5,2001,0,6144,64,751.374,700,800,900,24700,1330894.579,2892.423,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,tick_only,64,0,16,5,2001,0,0,0,31.284,0,100,100,7500,31964856.230,216.852,0,0,0,2304,0,0,2304,4,17870180632888718933
derived_vectors,change_density,tick_selective,tick_only,64,0,16,5,2001,0,0,0,159.570,100,200,300,16000,6266833.699,704.577,0,0,0,2816,0,0,2816,3,17870180632888718933
derived_vectors,change_density,stateless_full,frame_total,64,0,16,6,2001,0,6144,64,781.559,700,800,1000,26300,1279493.574,2868.919,0,0,0,1536,768,0,2304,3,17870180632888718933
derived_vectors,change_density,stateful_event,frame_total,64,0,16,6,2001,0,0,0,25.137,0,100,100,200,39781312.127,204.910,0,0,0,2304,0,0,2304,4,17870180632888718933
