algorithm,workload,variant,phase,entities,change_percent,work_rounds,repetition,samples,changed_entities,arithmetic_per_tick,recomputed_entities,mean_ns,median_ns,p95_ns,p99_ns,maximum_ns,throughput_per_s,cycles_per_tick,miss_100us,miss_1ms,miss_16_67ms,persistent_bytes,temporary_bytes,event_bytes,working_bytes,source_call_depth,checksum
derived_vectors,change_density,stateless_full,frame_total,64,0,16,1,2001,0,6144,64,1344.078,1300,1800,2300,16900,744004.462,5183.577,0,0,0,1536,768,0,2304,3,326232437978030234
derived_vectors,change_density,stateful_event,frame_total,64,0,16,1,2001,0,0,0,23.688,0,100,100,100,42215189.873,182.731,0,0,0,2304,0,0,2304,4,326232437978030234
derived_vectors,change_density,tick_selective,frame_total,64,0,16,1,2001,0,0,0,87.206,100,100,100,12000,11467048.711,412.662,0,0,0,2816,0,0,2816,3,326232437978030234
derived_vectors,change_density,stateless_full,tick_only,64,0,16,1,2001,0,6144,64,1595.152,1300,2600,2600,37100,626899.339,6084.343,0,0,0,1536,768,0,2304,3,326232437978030234
derived_vectors,change_density,stateful_event,tick_only,64,0,16,1,2001,0,0,0,22.739,0,100,100,100,43978021.978,181.973,0,0,0,2304,0,0,2304,4,326232437978030234
derived_vectors,change_density,tick_selective,tick_only,64,0,16,1,2001,0,0,0,79.110,100,100,100,200,12640555.907,400.909,0,0,0,2816,0,0,2816,3,326232437978030234
derived_vectors,change_density,stateless_full,frame_total,64,0,16,2,2001,0,6144,64,1282.209,1300,1300,1300,11300,779904.120,4925.024,0,0,0,1536,768,0,2304,3,326232437978030234
derived_vectors,change_density,stateful_event,frame_total,64,0,16,2,2001,0,0,0,23.688,0,100,100,200,42215189.873,182.731,0,0,0,2304,0,0,2304,4,326232437978030234
derived_vectors,change_density,tick_selective,frame_total,64,0,16,2,2001,0,0,0,86.207,100,100,200,400,11600000.000,421.571,0,0,0,2816,0,0,2816,3,326232437978030234
derived_vectors,change_density,stateless_full,tick_only,64,0,16,2,2001,0,6144,64,1278.861,1300,1300,1300,10800,781946.073,4933.744,0,0,0,1536,768,0,2304,3,326232437978030234
derived_vectors,change_density,stateful_event,tick_only,64,0,16,2,2001,0,0,0,23.288,0,100,100,100,42939914.163,181.783,0,0,0,2304,0,0,2304,4,326232437978030234
derived_vectors,change_density,tick_selective,tick_only,64,0,16,2,2001,0,0,0,79.210,100,100,100,100,12624605.678,399.013,0,0,0,2816,0,0,2816,3,326232437978030234
derived_vectors,change_density,stateless_full,frame_total,64,1,16,1,2001,1,6144,64,1287.056,1300,1300,1500,11300,776966.685,4956.490,0,0,0,1536,768,0,2304,3,11837663647815908776
derived_vectors,change_density,stateful_event,frame_total,64,1,16,1,2001,1,96,1,50.075,100,100,100,200,19970059.880,291.157,0,0,0,2304,0,28,2332,4,11837663647815908776
derived_vectors,change_density,tick_selective,frame_total,64,1,16,1,2001,1,96,1,145.527,100,200,400,17700,6871565.934,648.468,0,0,0,2816,0,28,2844,3,11837663647815908776
derived_vectors,change_density,stateless_full,tick_only,64,1,16,1,2001,1,6144,64,1283.258,1300,1300,1300,13900,779266.298,4964.261,0,0,0,1536,768,0,2304,3,11837663647815908776
derived_vectors,change_density,stateful_event,tick_only,64,1,16,1,2001,1,96,1,23.438,0,100,100,100,42665245.203,303.668,0,0,0,2304,0,28,2332,4,11837663647815908776
derived_vectors,change_density,tick_selective,tick_only,64,1,16,1,2001,1,96,1,107.696,100,100,200,10500,9285382.831,520.139,0,0,0,2816,0,28,2844,3,11837663647815908776
derived_vectors,change_density,stateless_full,frame_total,64,1,16,2,2001,1,6144,64,1284.758,1300,1300,1300,12200,778356.932,4943.790,0,0,0,1536,768,0,2304,3,1859224437441769517
derived_vectors,change_density,stateful_event,frame_total,64,1,16,2,2001,1,96,1,49.975,0,100,100,200,20010000.000,291.346,0,0,0,2304,0,28,2332,4,1859224437441769517
derived_vectors,change_density,tick_selective,frame_total,64,1,16,2,2001,1,96,1,105.397,100,100,200,4300,9487908.962,496.825,0,0,0,2816,0,28,2844,3,1859224437441769517
derived_vectors,change_density,stateless_full,tick_only,64,1,16,2,2001,1,6144,64,1285.157,1300,1300,1300,13900,778114.792,4959.902,0,0,0,1536,768,0,2304,3,1859224437441769517
derived_vectors,change_density,stateful_event,tick_only,64,1,16,2,2001,1,96,1,22.639,0,100,100,100,44172185.430,304.046,0,0,0,2304,0,28,2332,4,1859224437441769517
derived_vectors,change_density,tick_selective,tick_only,64,1,16,2,2001,1,96,1,102.799,100,100,200,300,9727758.872,508.576,0,0,0,2816,0,28,2844,3,1859224437441769517
derived_vectors,change_density,stateless_full,frame_total,256,0,16,1,2001,0,24576,256,5083.308,5000,5100,7500,19800,196722.278,19250.092,0,0,0,6144,3072,0,9216,3,11447310553278571365
derived_vectors,change_density,stateful_event,frame_total,256,0,16,1,2001,0,0,0,23.688,0,100,100,100,42215189.873,182.541,0,0,0,9216,0,0,9216,4,11447310553278571365
