platform,compiler,build_flags,algorithm,variant,workload,parameter,repetition,iterations,timer_overhead_ns,mean_ns,median_ns,p95_ns,p99_ns,max_ns,throughput_updates_s,cpu_utilization_pct,cycles_per_update,deadline_1us_misses,deadline_10us_misses,deadline_100us_misses,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,checksum
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","hidden_incremental","continuous",4,1,12000,0,5.442,0,100,100,300,183767228.178,0.000,20.893,0,0,0,72,32,0,8,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,1,12000,0,5.408,0,100,100,20900,184899845.917,0.000,20.672,1,1,0,72,32,0,8,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,1,12000,0,3.608,0,100,100,300,277136258.661,0.000,13.844,0,0,0,0,32,0,32,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,1,12000,0,8.958,0,100,100,200,111627906.977,0.000,34.105,0,0,0,49184,0,0,8,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,1,12000,0,10.867,0,100,100,200,92024539.877,0.000,41.281,0,0,0,49184,0,0,8,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","full_recompute","continuous",4,1,12000,0,3.833,0,100,100,300,260869565.217,0.000,14.666,0,0,0,0,16,0,16,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","explicit_incremental","continuous",4,2,12000,0,5.550,0,100,100,200,180180180.180,0.000,21.209,0,0,0,72,32,0,8,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","sliding_mean","full_recompute","continuous",4,2,12000,0,6.283,0,100,100,1100,159151193.634,0.000,23.991,1,0,0,0,32,0,32,15887254284878139765
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","hidden_incremental","continuous",4,2,12000,0,9.067,0,100,100,300,110294117.647,0.000,34.580,0,0,0,49184,0,0,8,13879756857014277832
"Windows x86-64","Clang 21.1.0 ","-std=c11 -O3 -Wall -Wextra -Wpedantic","rolling_max","explicit_incremental","continuous",4,2,12000,0,9.683,0,100,100,7600,103270223.752,0.000,36.919,1,0,0,49184,0,0,8,13879756857014277832
