algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
crc32_prefix,explicit_incremental,continuous,16,7,6.25,6.25,6.25,0.0,100.0,100.0,100.0,160000000.0,94.812,0.0,0.0,0.0,4,16,0,1,hidden_incremental,1.1666666666666667,16.666666666666675
crc32_prefix,explicit_incremental,continuous,64,7,4.464571428571428,3.46727759347069,5.461865263672166,0.0,100.0,100.0,100.0,213333333.333,29.641,0.0,0.0,0.0,4,64,0,1,hidden_incremental,0.9523983665508624,-4.760163344913759
crc32_prefix,explicit_incremental,continuous,256,7,3.9618571428571427,3.825174714285714,4.098539571428571,0.0,100.0,100.0,100.0,256000000.0,19.262,0.0,0.0,0.0,4,256,0,1,hidden_incremental,1.0143003437934313,1.4300343793431258
crc32_prefix,explicit_incremental,continuous,1024,7,4.032,3.563525852574959,4.500474147425041,0.0,100.0,100.0,200.0,262564102.564,15.928,0.0,0.0,0.0,4,1024,0,1,hidden_incremental,1.0396345955503168,3.9634595550316787
crc32_prefix,explicit_incremental,continuous,4096,7,3.846857142857143,3.82911144272087,3.864602842993416,0.0,100.0,100.0,300.0,260891719.745,14.909,0.0,0.0,0.0,4,4096,0,1,hidden_incremental,1.0027183019921804,0.2718301992180372
crc32_prefix,full_recompute,continuous,16,7,29.464285714285715,26.643693378520968,32.28487805005046,0.0,100.0,100.0,100.0,32000000.0,189.625,0.0,0.0,0.0,0,16,0,8,explicit_incremental,4.714285714285714,371.42857142857144
crc32_prefix,full_recompute,continuous,64,7,126.78571428571429,122.41607142857143,131.15535714285716,100.0,300.0,300.0,300.0,8000000.0,491.891,0.0,0.0,0.0,0,64,0,32,explicit_incremental,28.398182516318958,2739.8182516318957
crc32_prefix,full_recompute,continuous,256,7,517.4107142857143,510.805140552263,524.0162880191656,500.0,1000.0,1100.0,1100.0,1942336.874,1957.246,1.2276785714285714,0.0,0.0,0,256,0,128,explicit_incremental,130.59802401471174,12959.802401471174
crc32_prefix,full_recompute,continuous,1024,7,2076.2277142857142,2074.5297794156404,2077.925649155788,2100.0,4000.0,4100.0,29700.0,481723.667,7869.733,75.02790178571429,0.013950892857142858,0.0,0,1024,0,512,explicit_incremental,514.9374291383219,51393.74291383219
crc32_prefix,full_recompute,continuous,4096,7,8360.871142857142,8335.419275992817,8386.323009721467,8300.0,15900.0,16600.0,54800.0,119513.078,31689.33,93.76743861607143,39.903041294642854,0.0,0,4096,0,2048,explicit_incremental,2173.4290701128934,217242.90701128935
crc32_prefix,hidden_incremental,continuous,16,7,5.357142857142857,3.1723214285714283,7.541964285714285,0.0,100.0,100.0,100.0,160000000.0,71.125,0.0,0.0,0.0,4,16,0,1,,,
crc32_prefix,hidden_incremental,continuous,64,7,4.687714285714286,3.2427448548675812,6.13268371656099,0.0,100.0,100.0,100.0,213333333.333,29.625,0.0,0.0,0.0,4,64,0,1,,,
crc32_prefix,hidden_incremental,continuous,256,7,3.906,3.906,3.906,0.0,100.0,100.0,100.0,256000000.0,19.262,0.0,0.0,0.0,4,256,0,1,,,
crc32_prefix,hidden_incremental,continuous,1024,7,3.878285714285714,3.8345101212346453,3.922061307336783,0.0,100.0,100.0,100.0,256000000.0,15.928,0.0,0.0,0.0,4,1024,0,1,,,
crc32_prefix,hidden_incremental,continuous,4096,7,3.8364285714285713,3.828038857142857,3.8448182857142856,0.0,100.0,100.0,300.0,260891719.745,14.909,0.0,0.0,0.0,4,4096,0,1,,,
pid_controller,explicit_state,continuous,1,7,3.399714285714286,3.152123097921506,3.647305473507066,0.0,100.0,100.0,24800.0,295566502.463,12.928,0.007142857142857143,0.0011904761904761906,0.0,24,0,0,16,hidden_state,0.9733731440958732,-2.6626855904126834
pid_controller,hidden_state,continuous,1,7,3.4927142857142854,3.1823227427529392,3.8031058286756316,0.0,100.0,100.0,8400.0,277136258.661,13.781,0.0011904761904761906,0.0,0.0,24,0,0,16,,,
rolling_max,explicit_incremental,continuous,4,7,10.580857142857143,9.856420278562378,11.305294007151907,0.0,100.0,100.0,7600.0,94265514.533,40.332,0.002380952380952381,0.0,0.0,49184,0,0,8,hidden_incremental,1.1444774089869585,14.447740898695848
rolling_max,explicit_incremental,continuous,16,7,12.172714285714287,10.88653814706702,13.458890424361554,0.0,100.0,100.0,10300.0,83740404.745,45.516,0.0035714285714285713,0.0011904761904761906,0.0,49184,0,0,8,hidden_incremental,1.0034268352999365,0.34268352999364815
rolling_max,explicit_incremental,continuous,64,7,13.419142857142857,11.918711686218124,14.91957402806759,0.0,100.0,100.0,20300.0,73800738.007,51.616,0.002380952380952381,0.002380952380952381,0.0,49184,0,0,8,hidden_incremental,1.0581251267262937,5.812512672629366
rolling_max,explicit_incremental,continuous,256,7,11.093857142857143,9.824355093899216,12.36335919181507,0.0,100.0,100.0,9000.0,93240093.24,40.775,0.002380952380952381,0.0,0.0,49184,0,0,8,hidden_incremental,1.035896272977083,3.589627297708309
rolling_max,explicit_incremental,continuous,1024,7,11.014142857142858,10.330355795228327,11.697929919057389,0.0,100.0,100.0,6600.0,89418777.943,42.513,0.002380952380952381,0.0,0.0,49184,0,0,8,hidden_incremental,1.0711765032788707,7.117650327887071
rolling_max,explicit_incremental,continuous,4096,7,11.787142857142857,10.320853981703479,13.253431732582236,0.0,100.0,100.0,2000.0,92024539.877,41.344,0.0011904761904761906,0.0,0.0,49184,0,0,8,hidden_incremental,1.1569471514505656,15.69471514505656
