toj,taa,toa
смрден,смрдена,смрдено
паразитски,паразитска,паразитско
блеферски,блеферска,блеферско
цијашки,цијашка,цијашко
претинкан,претинкана,претинкано
стопанкин,стопанкина,стопанкино
грвен,грвна,грвно
гребнат,гребната,гребнато
чипиран,чипирана,чипирано
вошлав,вошлава,вошлаво
лефтерен,лефтерна,лефтерно
тушлав,тушлава,тушлаво
пичлав,пичлава,пичлаво
бричлав,бричлава,бричлаво
искубан,искубана,искубано
скорнат,скорната,скорнато
удбашки,удбашка,удбашко
пештерски,пештерска,пештерско
парталав,парталава,парталаво
недоквакан,недоквакана,недоквакано
буљашки,буљашка,буљашко
збрбан,збрбана,збрбано
рошав,рошава,рошаво
стуткан,стуткана,стуткано
штелнат,штелната,штелнато
збубутен,збубутена,збубутено
некапен,некапена,некапено
сринат,срината,сринато
сркнат,сркната,сркнато
црпнат,црпната,црпнато
коцкоглав,коцкоглава,коцкоглаво
ќафнат,ќафната,ќафнато
закрепостен,закрепостена,закрепостено
комуњарски,комуњарска,комуњарско
штапски,штапска,штапско
отракан,отракана,отракано
лајнарски,лајнарска,лајнарско
славобалистички,славобалистичка,славобалистичко
блесав,блесава,блесаво
збучен,збучена,збучено
збрбутен,збрбутена,збрбутено
соскубан,соскубана,соскубано
навјасан,навјасана,навјасано
набабрен,набабрена,набабрено
исчашен,исчашена,исчашено
едноклеточен,едноклеточна,едноклеточно
двоклеточен,двоклеточна,двоклеточно
неспособен,неспособна,неспособно
непрокопсан,непрокопсана,непрокопсано
шекнат,шекната,шекнато
матуф,матуфа,матуфо
кљакнат,кљакната,кљакнато
туп,тупа,тупо
алосан,алосана,алосано
брцнат,брцната,брцнато
ничкосан,ничкосана,ничкосано
интергалактички,интергалактичка,интергалактичко
интерстеларен,интерстеларна,интерстеларно
дувнат,дувната,дувнато
изветреан,изветреана,изветреано
саштисан,саштисана,саштисано
чалдисан,чалдисана,чалдисано
саклдисан,саклдисана,саклдисано
рунтав,рунтава,рунтаво
чукнат,чукната,чукнато
